Nome,CodiceNAV
BIFILARE PER CONDUTTORE 22.8/31.5,978020
BIFILARE PER F.O.,978021
BIG BAG FONDO CHIUSO (sacconi per elicottero),971056
BILANCERE COMPLETI 150 kV (LM362/2),978022
BILANCERE COMPLETI 220 kV (LM 370/2),978023
bilancino modulare sollevamento componenti 12 t,979045
bilancino modulare sollevamento componenti 6 t,979044
BINDA IDRAULICA portata 5000 kg 5 t,763767
BINOCOLO,880917
BLOCCHETTO IN CLS,880296
BLOCCHI BASI PER ORSOGRIL orsogrill,999509
BOBINA FUNE NYLON Ø 10 mm da 200 m,977058
BOBINA FUNE NYLON Ø 10 mm da 800 m,970343
BOBINA FUNE NYLON Ø 8 mm da 300 m,977055
BOBINA UNIFICATA RECUPERO ROTTAME DA Ø 140 cm,970059
BOBINE FUNE NYLON Ø 6 mm da 70 m,SE0000313
BOMBOLETTA OLIO DA TAGLIO spray 400 ml,971001
BOMBOLETTA SPRAY LUBRIFICANTE,882696
BOMBOLETTA ZINCO SPRAY,883687
BORSA CARPENTIERE nera pelle con due ganci in metallo,991210
BORSA CONTENITORE DPI,882227
BORSA IN PVC PORTASTAMPI CON BRETELLA,970081
Borsa porta atrezzi STANLEY,995957
BORSA PORTA ATTREZZI 4 l,970229
Box ttrezzatura,993370A1
Box ufficio,993370
Bullone 10X25 ZN,978031
Bullone 10X35 ZN,978032
Bullone 10x60,880446
Bullone 12X120,880654
Bullone 12X40,978034
Bullone 12X45,978035
Bullone 12X55,978036
Bullone 12X60,978037
Bullone 12X65,971266
Bullone 14X45,971267
Bullone 14X60,978040
Bullone 16X50,978043
Bullone 16X60,978044
Bullone 18X60,978047
Bullone 18X70,978048
Bullone 18X80,971268
Bullone 20X100,971269
Bullone INOX 14X40,881858
Bullone zincato a caldo 18 x 65,971399
Bullone zincato a caldo 18X60,978047N
BULLONI FONDAZIONE 101/..  N°50 16X40 + N°48 20x45,101B
BULLONI FONDAZIONE 102/..  N°40 16X40,102B
BULLONI FONDAZIONE 103/..  N° 40 16X40,103B
BULLONI FONDAZIONE 104/..  N° 40 16X40,104B
BULLONI FONDAZIONE 105/..  N° 40 16X40,105B
BULLONI FONDAZIONE 106/..  N° 40 16X40,106B
BULLONI FONDAZIONE 107/..  N° 40 16X40,107B
BULLONI FONDAZIONE 108/..  N° 40 16X40,108B
BULLONI FONDAZIONE 109/..  N° 40 16X40,109B
BULLONI FONDAZIONE 110/..  N° 40 16X40,110B
BULLONI FONDAZIONE 111/..  N° 40 16X40,111B
BULLONI FONDAZIONE 112/..  N° 40 16X40,112B
Bussola ATT. 1" 34 mm,970215
Bussola ATT. 1" 36 mm,970216
Bussola ATT. 1" 41 mm,970217
Bussola ATT. 1" 46 mm,970218
Bussola ATT. 1" 50 mm,970219
Bussola Ø 10 esagonale 1/2",991280
Bussola Ø 11 esagonale 1/2",998329
Bussola Ø 12 esagonale 1/2",970302
Bussola Ø 13 esagonale 1/2" ,991281
Bussola Ø 14 esagonale 1/2",970304
Bussola Ø 15  esagonale 1/2",970305
Bussola Ø 16 esagonale 1/2",970306
Bussola Ø 17 esagonale 1/2" ,991282
Bussola Ø 18 esagonale 1/2",970308
Bussola Ø 19 esagonale 1/2",991283
Bussola Ø 20 esagonale 1/2",977072
Bussola Ø 21 esagonale 1/2",970310
Bussola Ø 22 esagonale 1/2",991284
Bussola Ø 23 esagonale 1/2",977076
Bussola Ø 24 esagonale 1/2",881255
Bussola Ø 25 esagonale 1/2",977078
Bussola Ø 26 esagonale 1/2",977079
Bussola Ø 27 esagonale 1/2",991286
Bussola Ø 28 esagonale 1/2",998339
Bussola Ø 30 esagonale 1/2",998343
